Date : 2026-04-30 01:01:01
Directory : f:\Programmi\Bots\GemiX
Total : 77 files,  10044 codes, 1826 comments, 1680 blanks, all 13550 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |         69 |      9,406 |      1,713 |      1,485 |     12,604 |
| Markdown     |          1 |        276 |          0 |        114 |        390 |
| Python       |          2 |        209 |         52 |         50 |        311 |
| Docker       |          2 |         62 |         27 |         18 |        107 |
| YAML         |          1 |         44 |         27 |          4 |         75 |
| Shell Script |          1 |         24 |          7 |          8 |         39 |
| JSON         |          1 |         23 |          0 |          1 |         24 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                           |         77 |     10,044 |      1,826 |      1,680 |     13,550 |
| . (Files)                                                   |          1 |         23 |          0 |          1 |         24 |
| sandbox                                                     |          7 |        615 |        113 |        194 |        922 |
| sandbox (Files)                                             |          5 |        429 |         67 |        148 |        644 |
| sandbox\proxy                                               |          2 |        186 |         46 |         46 |        278 |
| src                                                         |         69 |      9,406 |      1,713 |      1,485 |     12,604 |
| src (Files)                                                 |          2 |        569 |         60 |         69 |        698 |
| src\ai                                                      |          7 |      1,119 |        139 |        155 |      1,413 |
| src\config                                                  |          3 |        137 |         39 |         20 |        196 |
| src\platforms                                               |          4 |      1,252 |         97 |        182 |      1,531 |
| src\platforms\discord                                       |          1 |        430 |         18 |         50 |        498 |
| src\platforms\whatsapp                                      |          3 |        822 |         79 |        132 |      1,033 |
| src\rag                                                     |          1 |        142 |         14 |         33 |        189 |
| src\sandbox                                                 |          3 |        880 |        179 |        111 |      1,170 |
| src\scheduler                                               |          3 |        413 |        100 |         88 |        601 |
| src\tools                                                   |         24 |      3,185 |        573 |        515 |      4,273 |
| src\utils                                                   |         22 |      1,709 |        512 |        312 |      2,533 |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                    | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------+--------------+------------+------------+------------+------------+
| f:\Programmi\Bots\GemiX\package.json                        | JSON         |         23 |          0 |          1 |         24 |
| f:\Programmi\Bots\GemiX\sandbox\Dockerfile                  | Docker       |         52 |         24 |         13 |         89 |
| f:\Programmi\Bots\GemiX\sandbox\README.md                   | Markdown     |        276 |          0 |        114 |        390 |
| f:\Programmi\Bots\GemiX\sandbox\docker-compose.yml          | YAML         |         44 |         27 |          4 |         75 |
| f:\Programmi\Bots\GemiX\sandbox\entrypoint.sh               | Shell Script |         24 |          7 |          8 |         39 |
| f:\Programmi\Bots\GemiX\sandbox\preload_models.py           | Python       |         33 |          9 |          9 |         51 |
| f:\Programmi\Bots\GemiX\sandbox\proxy\Dockerfile            | Docker       |         10 |          3 |          5 |         18 |
| f:\Programmi\Bots\GemiX\sandbox\proxy\proxy.py              | Python       |        176 |         43 |         41 |        260 |
| f:\Programmi\Bots\GemiX\src\ai\agenticBriefing.js           | JavaScript   |         92 |         23 |          8 |        123 |
| f:\Programmi\Bots\GemiX\src\ai\aiProvider.js                | JavaScript   |         21 |         17 |          7 |         45 |
| f:\Programmi\Bots\GemiX\src\ai\apiClient.js                 | JavaScript   |        176 |         20 |         25 |        221 |
| f:\Programmi\Bots\GemiX\src\ai\mediaDescriber.js            | JavaScript   |        151 |         31 |         24 |        206 |
| f:\Programmi\Bots\GemiX\src\ai\pageSummarizer.js            | JavaScript   |         48 |         13 |         14 |         75 |
| f:\Programmi\Bots\GemiX\src\ai\systemPrompt.js              | JavaScript   |        142 |         22 |         23 |        187 |
| f:\Programmi\Bots\GemiX\src\ai\tools.js                     | JavaScript   |        489 |         13 |         54 |        556 |
| f:\Programmi\Bots\GemiX\src\config\constants.js             | JavaScript   |         66 |         15 |         12 |         93 |
| f:\Programmi\Bots\GemiX\src\config\env.js                   | JavaScript   |         19 |          1 |          2 |         22 |
| f:\Programmi\Bots\GemiX\src\config\members.js               | JavaScript   |         52 |         23 |          6 |         81 |
| f:\Programmi\Bots\GemiX\src\handler.js                      | JavaScript   |        531 |         59 |         57 |        647 |
| f:\Programmi\Bots\GemiX\src\index.js                        | JavaScript   |         38 |          1 |         12 |         51 |
| f:\Programmi\Bots\GemiX\src\platforms\discord\client.js     | JavaScript   |        430 |         18 |         50 |        498 |
