"filename", "language", "JSON", "JavaScript", "Markdown", "Python", "Shell Script", "Docker", "YAML", "comment", "blank", "total"
"f:\Programmi\Bots\GemiX\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\Programmi\Bots\GemiX\sandbox\Dockerfile", "Docker", 0, 0, 0, 0, 0, 52, 0, 24, 13, 89
"f:\Programmi\Bots\GemiX\sandbox\README.md", "Markdown", 0, 0, 276, 0, 0, 0, 0, 0, 114, 390
"f:\Programmi\Bots\GemiX\sandbox\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 44, 27, 4, 75
"f:\Programmi\Bots\GemiX\sandbox\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 24, 0, 0, 7, 8, 39
"f:\Programmi\Bots\GemiX\sandbox\preload_models.py", "Python", 0, 0, 0, 33, 0, 0, 0, 9, 9, 51
"f:\Programmi\Bots\GemiX\sandbox\proxy\Dockerfile", "Docker", 0, 0, 0, 0, 0, 10, 0, 3, 5, 18
"f:\Programmi\Bots\GemiX\sandbox\proxy\proxy.py", "Python", 0, 0, 0, 176, 0, 0, 0, 43, 41, 260
"f:\Programmi\Bots\GemiX\src\ai\agenticBriefing.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 23, 8, 123
"f:\Programmi\Bots\GemiX\src\ai\aiProvider.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 17, 7, 45
"f:\Programmi\Bots\GemiX\src\ai\apiClient.js", "JavaScript", 0, 176, 0, 0, 0, 0, 0, 20, 25, 221
"f:\Programmi\Bots\GemiX\src\ai\mediaDescriber.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 31, 24, 206
"f:\Programmi\Bots\GemiX\src\ai\pageSummarizer.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 13, 14, 75
"f:\Programmi\Bots\GemiX\src\ai\systemPrompt.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 22, 23, 187
"f:\Programmi\Bots\GemiX\src\ai\tools.js", "JavaScript", 0, 489, 0, 0, 0, 0, 0, 13, 54, 556
"f:\Programmi\Bots\GemiX\src\config\constants.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 15, 12, 93
"f:\Programmi\Bots\GemiX\src\config\env.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"f:\Programmi\Bots\GemiX\src\config\members.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 23, 6, 81
"f:\Programmi\Bots\GemiX\src\handler.js", "JavaScript", 0, 531, 0, 0, 0, 0, 0, 59, 57, 647
"f:\Programmi\Bots\GemiX\src\index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 1, 12, 51
"f:\Programmi\Bots\GemiX\src\platforms\discord\client.js", "JavaScript", 0, 430, 0, 0, 0, 0, 0, 18, 50, 498
"f:\Programmi\Bots\GemiX\src\platforms\whatsapp\dedicated.js", "JavaScript", 0, 185, 0, 0, 0, 0, 0, 18, 37, 240
"f:\Programmi\Bots\GemiX\src\platforms\whatsapp\personal.js", "JavaScript", 0, 213, 0, 0, 0, 0, 0, 19, 42, 274
"f:\Programmi\Bots\GemiX\src\platforms\whatsapp\shared.js", "JavaScript", 0, 424, 0, 0, 0, 0, 0, 42, 53, 519
"f:\Programmi\Bots\GemiX\src\rag\regolamentoRag.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 14, 33, 189
"f:\Programmi\Bots\GemiX\src\sandbox\projectRun.js", "JavaScript", 0, 262, 0, 0, 0, 0, 0, 52, 32, 346
"f:\Programmi\Bots\GemiX\src\sandbox\pythonKernel.js", "JavaScript", 0, 300, 0, 0, 0, 0, 0, 53, 42, 395
"f:\Programmi\Bots\GemiX\src\sandbox\sandboxManager.js", "JavaScript", 0, 318, 0, 0, 0, 0, 0, 74, 37, 429
"f:\Programmi\Bots\GemiX\src\scheduler\engine.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 33, 29, 215
"f:\Programmi\Bots\GemiX\src\scheduler\musicWrapMonitor.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 44, 29, 208
"f:\Programmi\Bots\GemiX\src\scheduler\releaseMonitor.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 23, 30, 178
"f:\Programmi\Bots\GemiX\src\tools\attachFile.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 19, 15, 125
"f:\Programmi\Bots\GemiX\src\tools\bashTool.js", "JavaScript", 0, 298, 0, 0, 0, 0, 0, 21, 26, 345
"f:\Programmi\Bots\GemiX\src\tools\browsePage.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 44, 37, 237
"f:\Programmi\Bots\GemiX\src\tools\codeExecution.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 19, 12, 187
"f:\Programmi\Bots\GemiX\src\tools\editFile.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 16, 17, 203
"f:\Programmi\Bots\GemiX\src\tools\emailSender.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 4, 4, 30
"f:\Programmi\Bots\GemiX\src\tools\formalRequestPdf.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 32, 20, 169
